Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Country (product.metafields.custom.country),Decade (product.metafields.custom.decade),Director (product.metafields.custom.director),Format (product.metafields.custom.format),Genres (product.metafields.custom.genres),Media condition (product.metafields.custom.media_condition),Runtime (min) (product.metafields.custom.runtime),Staff pick note (product.metafields.custom.staff_pick_note),Year (product.metafields.custom.year),Rental Availability (product.metafields.scf.avf),Genre (product.metafields.shopify.genre),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
the-itlaian-job-dvd,The Itaian Job,"<p>After a heist in Venice, Steve turns on his partners in crime, killing safecracker John Bridger and keeping all the gold for himself; the rest of the team, including leader Charlie Croker, driver Handsome Rob, explosives man Left Ear and tech geek Lyle, vows revenge; they enlist the help of Bridger's daughter, Stella, and plot to recover the gold from Steve's Los Angeles mansion.</p>",DVD,Uncategorized,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,90832634,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_ca1bfc3b-eec0-4580-8472-db1a255b893b.jpg?v=1783251961,1,,false,,,,,,,,,,,,,,,,,,,lb,,,active
pet-semetary-dvd,Pet Semetary,"<p>Doctor Louis Creed (Dale Midkiff) moves his family to Maine, where he meets a friendly local named Jud Crandall (Fred Gwynne). After the Creeds' cat is accidentally killed, Crandall advises Louis to bury it in the ground near the old pet cemetery. The cat returns to life, its personality changed for the worse. When Louis' son, Gage (Miko Hughes), dies tragically, Louis decides to bury the boy's body in the same ground despite the warnings of Crandall and Louis' visions of a deceased patient.</p>",DVD,,,"Horror, Rental",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,90865402,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_1650a3ff-85db-4fe7-9b0d-f0b4bc915c73.jpg?v=1783251962,1,,false,,,,,,,,,,,,,,,,,,,lb,,,active
hostel-part-ii-dvd,Hostel Part II,"<p>Beth (Lauren German), Lorna (Heather Matarazzo) and Whitney (Bijou Phillips), three young American women traveling abroad in Rome, decide to take a weekend excursion. Lured from their intended destination by a beautiful acquaintance (Vera Jordanova), the women anticipate a stay at a luxurious spa. Instead, they become pawns in a grisly game designed to entertain wealthy deviants from around the world.</p>",DVD,,,"Horror, Rental",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,90898170,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_4bb4edf0-0b0e-4aec-aa62-0147920d73e8.jpg?v=1783251963,1,,false,,,,,,,,,,,,,,,,,,,lb,,,active
leon-the-professional-dvd,Léon The Professional,"<p>Mathilda (Natalie Portman) is only 12 years old, but is already familiar with the dark side of life: her abusive father stores drugs for corrupt police officers, and her mother neglects her. Léon (Jean Reno), who lives down the hall, tends to his houseplants and works as a hired hitman for mobster Tony (Danny Aiello). When her family is murdered by crooked DEA agent Stansfield (Gary Oldman), Mathilda joins forces with a reluctant Léon to learn his deadly trade and avenge her family's deaths.</p>",DVD,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,90930938,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_8f9d7971-58a5-4c34-9565-59a4b3bb806b.jpg?v=1783251965,1,,false,,,,,,,,,,,,,,,,,,,lb,,,active
casino-carlitos-way-dvd,Casino / Carlito's Way,"<p>CASINO: In early-1970s Las Vegas, low-level mobster Sam ""Ace"" Rothstein (Robert De Niro) gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro (Joe Pesci), his ex-hustler wife Ginger (Sharon Stone), her con-artist ex Lester Diamond (James Woods) and a handful of corrupt politicians put Sam in ever-increasing danger. Martin Scorsese directs this adaptation of Nicholas Pileggi's book.</p>

<p>CARLITO'S WAY: A free man after years in prison, Carlito Brigante intends to give up his criminal ways, but it's not long before the ex-con is sucked back into the New York City underworld. Reconnecting with his dancer girlfriend, Gail, Carlito gets entangled in the shady dealings of his friend Dave Kleinfeld, who also serves as his lawyer. When Carlito and Kleinfeld run afoul of shifty gangster Benny Blanco, it sets them on a dangerous path.</p>",DVD,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,90963706,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_45165682-bdcf-4e11-9ea5-eccf26a66c2f.jpg?v=1783251965,1,,false,,,,,,,,,,,,,,,,,,,lb,,,active
easy-a-dvd,Easy A,"<p>Prompted by her popular best friend to spill details of her boring weekend, Olive, a clean-cut teen, decides to spice things up by telling a little lie about losing her virginity; when the high-school busybody overhears the conversation and spreads it all over campus, Olive is suddenly notorious but for the wrong reasons.</p>",DVD,,,"Comedy, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,90996474,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_db37fb40-7f14-4d8a-865e-384737cc6e0e.jpg?v=1783251966,1,,false,,,,,,,,,,,,,,,,,,,lb,,,active
clueless-dvd,Clueless,"<p>Shallow, rich and socially successful Cher (Alicia Silverstone) is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai (Brittany Murphy) a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother (Paul Rudd) was right about how misguided she was -- and falls for him.</p>",DVD,,,"Comedy, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,91029242,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_12e9ae54-e5bd-4ebb-a28b-f17d64183cd1.jpg?v=1783251968,1,,false,,,,,,,,,,,,,,,,,,,lb,,,active
the-broken-hearts-club-dvd,The Broken Hearts Club,"<p>A fresh, funny, real story about a group of gay men in Hollywood, their lovers and friends, and the often hilarious, occasionally poignant space in between -- that is if they can get any space at all. As they make their ways in the world with and without each other, they are suddenly faced with an unexpected tragedy. The group finds comfort the only way they ever have -- together.</p>",DVD,,,"Comedy, Rental",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,91062010,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_41ead401-7d66-4ba8-a23f-16097ad00578.jpg?v=1783251969,1,,false,,,,,,,,,,,,,,,,,,,lb,,,active
apocalypse-now-bluray,Apocalypse Now,"<p>In Vietnam in 1970, Captain Willard (Martin Sheen) takes a perilous and increasingly hallucinatory journey upriver to find and terminate Colonel Kurtz (Marlon Brando), a once-promising officer who has reportedly gone completely mad. In the company of a Navy patrol boat filled with street-smart kids, a surfing-obsessed Air Cavalry officer (Robert Duvall), and a crazed freelance photographer (Dennis Hopper), Willard travels further and further into the heart of darkness.</p>",Blu-Ray,,,"Drama, Rental",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,94404346,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_234fe60a-bc7e-4f79-8a93-4aa5d1d072a0.jpg?v=1783252776,1,,false,,,,,,,,,,,,,,,,,,,lb,,,active
the-girl-who-played-with-fire-bluray,The Girl Who Played With Fire,<p>Computer hacker Lisbeth Salander is accused of three murders while investigating a sex-trafficking ring with journalist Mikael Blomkvist. Lisbeth goes on the run while Mikael works to clear her name.</p>,Blu-Ray,,,"Rental, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,94437114,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_d536f492-31cd-45ed-8afe-e22bf80e6eff.jpg?v=1783252777,1,,false,,,,,,,,,,,,,,,,,,,lb,,,active
cop-car-bluray,Cop Car,"<p>Two mischievous boys (James Freedson-Jackson, Hays Wellford) stumble upon a seemingly abandoned police cruiser and steal it, unaware that its murderous owner (Kevin Bacon) has stashed a hostage in the trunk.</p>",Blu-Ray,,,"Rental, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,94469882,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_1cb01d75-1537-4d3d-a652-f2b40baa4083.jpg?v=1783252778,1,,false,,,,,,,,,,,,,,,,,,,lb,,,active
lord-of-war-bluray,Lord Of War,<p>An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.</p>,Blu-Ray,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,94502650,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_f8fc2f59-44a3-4268-9eec-a43d6be7bf2f.jpg?v=1783252779,1,,false,,,,,,,,,,,,,,,,,,,lb,,,active
the-girl-with-the-dragon-tattoo-bluray,The Girl With The Dragon Tattoo,"<p>Disgraced financial reporter Mikael Blomkvist (Daniel Craig) finds a chance to redeem his honor after being hired by wealthy Swedish industrialist Henrik Vanger (Christopher Plummer) to solve the 40-year-old murder of Vanger's niece, Harriet. Vanger believes that Harriet was killed by a member of his own family. Eventually joining Blomkvist on his dangerous quest for the truth is Lisbeth Salander (Rooney Mara), an unusual but ingenious investigator whose fragile trust is not easily won.</p>",Blu-Ray,,,"Rental, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,94535418,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_724a8581-88ee-4657-845b-c5b87eb537b9.jpg?v=1783252780,1,,false,,,,,,,,,,,,,,,,,,,lb,,,active
the-great-mouse-detective-bluray,The Great Mouse Detective,"<p>Basil embarks on the greatest case of his career when London's master toymaker is kidnapped. He ends up pitting his wits against his old adversary, Professor Ratigan, who wants to become 'supreme ruler of all mousedom'.</p>",Blu-Ray,,,"Kids & Family, Rental",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,94568186,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_ff99155f-1ff3-4d7a-9ccc-7b3892b4db90.jpg?v=1783252782,1,,false,,,,,,,,,,,,,,,,,,,lb,,,active
cloudy-with-a-chance-of-meatballs-2-bluray,Cloudy with a Chance of Meatballs 2,"<p>His genius finally recognized by his idol Chester V, inventor Flint Lockwood gets to join Chester's company, where he can work full-time on technologies to help mankind. However, Flint soon discovers that his most-famous machine, which turns water into food, is still operating but now creates animal/vegetable hybrids. With the fate of humanity in Flint's hands, he and his friends set out to save the world from tacodiles, shrimpanzees and other deliciously dangerous creatures.</p>",Blu-Ray,,,"Kids & Family, Rental",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,94600954,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_bb6fe3bd-967b-46d5-86d4-1d34051957d3.jpg?v=1783252783,1,,false,,,,,,,,,,,,,,,,,,,lb,,,active
malevolence-3-killer-bluray,Malevolence 3: Killer,"<p>Abused kidnap victim Martin Bristol returns to his hometown 10 years after his abduction as a child and, warped by his experiences, begins a killing spree that authorities and his family race to stop.</p>",Blu-Ray,,,"Horror, Rental",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,94633722,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_b1a1e018-c2f0-4077-9c7f-b94880780360.jpg?v=1783252784,1,,false,,,,,,,,,,,,,,,,,,,lb,,,active
malevolence-bluray,Malevolence,"<p>Bank robbers (Brandon Johnson, Heather Magee) take two hostages to a rural farmhouse where a serial killer lurks.</p>",Blu-Ray,,,"Horror, Rental",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,94666490,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_208a6614-882d-4fa3-86b4-a8603fec0b9c.jpg?v=1783252785,1,,false,,,,,,,,,,,,,,,,,,,lb,,,active
malevolence-2-berevement-bluray,Malevolence 2: Berevement,"<p>Martin Bristol, a six-year-old, is abducted from his backyard swing and forced to witness the brutal crimes of a deranged madman.</p>",Blu-Ray,,,"Horror, Rental",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,94699258,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_42ee5635-14e6-40d8-a9da-75e145e28a0a.jpg?v=1783252786,1,,false,,,,,,,,,,,,,,,,,,,lb,,,active
running-scared-dvd,Running Scared,"<p>Mafia flunky Joey Gazelle (Paul Walker) is ordered to dispose of the guns that killed a pair of policemen. He hides them in his basement, where they are found by Oleg (Cameron Bright), the kid from next door, who uses one to shoot his brutal stepfather, a Russian mobster. The boy runs off, and Joey pursues him into the criminal underworld, desperate to retrieve the incriminating weapon. Meanwhile, corrupt detective Rydell (Chazz Palminteri) is following Joey's trail with his own agenda.</p>",DVD,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,96829178,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_d96af2c2-1f52-47b8-8796-9dd1e978fde8.jpg?v=1783253293,1,,false,,,,,,,,,,,,,,,,,,,lb,,,active
v-h-s-99-steelbook-bluray,V/H/S/99 [Steelbook],,Blu-Ray,,,"Floor Sale, Horror",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,15.00,,true,true,,,,,99024634,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
fog-city-steelbook-bluray,Fog City [Steelbook],,Blu-Ray,,,"Floor Sale, Horror",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,15.00,,true,true,,,,,99057402,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
8-mile-dvd,8 Mile,,DVD,,,"Drama, Floor Sale",true,Genre,Drama,,,,,,,,,0.0,shopify,1,deny,manual,4.00,,true,true,,,,,22945274,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
the-grey-dvd,The Grey,,DVD,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,4.00,,true,true,,,,,22978042,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
pineapple-express-dvd,Pineapple Express,,DVD,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,4.00,,true,true,,,,,23010810,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
mr-magoriums-wonder-emporium-dvd,Mr. Magorium's Wonder Emporium,,DVD,,,"Floor Sale, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,4.00,,true,true,,,,,23043578,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
the-lord-of-the-rings-dvd,The Lord of the Rings,,DVD,,,"Floor Sale, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,23109114,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
harry-potter-and-the-deathly-hollows-bluray,Harry Potter and the Deathly Hollows,,Blu-Ray,,,"Floor Sale, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,23174650,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
minority-report-dvd,Minority Report,,DVD,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,23207418,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
miami-vice-dvd,Miami Vice,,DVD,,,"Action, Floor Sale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,23240186,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
war-of-the-worlds-dvd,War of the Worlds,,DVD,,,"Floor Sale, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,23272954,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
dont-say-a-word-dvd,Don't Say a Word,,DVD,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,23305722,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
state-fair-dvd,State Fair,,DVD,,,"Floor Sale, Musical",true,Genre,Musical,,,,,,,,,0.0,shopify,1,deny,manual,4.00,,true,true,,,,,23436794,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
high-school-musical-2-dvd,High School Musical 2,,DVD,,,"Floor Sale, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,23469562,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
national-lampoons-senior-trip-dvd,National Lampoon's Senior Trip,,DVD,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,23502330,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
joy-ride-dvd,Joy Ride,,DVD,,,"Floor Sale, Thriller",true,Genre,Thriller,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,23567866,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
planet-of-the-apes-2001-dvd,Planet of the Apes (2001),,DVD,,,"Floor Sale, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,23633402,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
frozen-bluray,Frozen,"<p>When their kingdom becomes trapped in perpetual winter, fearless Anna (Kristen Bell) joins forces with mountaineer Kristoff (Jonathan Groff) and his reindeer sidekick to find Anna's sister, Snow Queen Elsa (Idina Menzel), and break her icy spell. Although their epic journey leads them to encounters with mystical trolls, a comedic snowman (Josh Gad), harsh conditions, and magic at every turn, Anna and Kristoff bravely push onward in a race to save their kingdom from winter's cold grip.</p>",Blu-Ray,,,"Kids & Family, Rental",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,38116858,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_9d3e33f0-ed3f-40f8-a752-2863dcb5bdeb.jpg?v=1783258365,1,,false,,,,,,,,,,,,,,,,,,,lb,,,active
gorotica-vhs,Gorotica,<p>A jewel thief asks a necrophiliac to help him retrieve a diamond from his dead partner's stomach.</p>,VHS,,,"Horror, Rental",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,38149626,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_ab66d582-ded8-4583-9cdb-34cb089cf5a2.jpg?v=1783258366,1,,false,,,,,,,,,,,,,,,,,,,lb,,,active
minding-the-gap-vhs,Minding The Gap,"<p>Filmmaker Bing Liu returns to his hometown to document his friends’ daily lives. What he uncovers are revelations about where they’ve come from, apprehensions of who they’re becoming and a desire to course correct before it’s too late.</p>

<p>MINDING THE GAP is a Peabody Award winning, Oscar and Emmy nominated documentary which made The New York Times critic A.O. Scott’s top 10 films of the decade list.</p>",VHS,,,"Documentary, Rental",true,Genre,Documentary,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,38182394,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_940b520f-a78f-4f91-828a-6e72f12d0157.jpg?v=1783258367,1,,false,,,,,,,,,,,,,,,,,,,lb,,,active
mad-rons-prevues-from-hell-vhs,Mad Ron's Prevues From Hell,<p>A deranged projectionist shows a theatre full of zombies horror trailers from his collection.</p>,VHS,,,"Horror, Rental",true,Genre,Horror,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,38215162,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_bb1eed64-b0d3-4685-8190-2d12151324c9.jpg?v=1783258369,1,,false,,,,,,,,,,,,,,,,,,,lb,,,active
limo-ride-vhs,Limo Ride,"<p>Ten friends hire a limousine to take them to a party, only to be kidnapped, stripped and left for dead on the side of the road.</p>",VHS,,,"Action, Rental",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,0.00,,true,true,,,,,38247930,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/images_fe5c0d02-6e11-4eae-9898-a39090a8a551.jpg?v=1783258370,1,,false,,,,,,,,,,,,,,,,,,,lb,,,active
the-iron-giant-vhs,The Iron Giant,,VHS,Uncategorized,,"Floor Sale, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,2,deny,manual,8.00,,true,true,,,,,53508858,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
cool-runnings-vhs,Cool Runnings,,VHS,,,"Floor Sale, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,53541626,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
trainwreck-bluray,Trainwreck,,Blu-Ray,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,53574394,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
martian-chronicles-the-settlers-vhs,Martian Chronicles: The Settlers,,VHS,,,"Floor Sale, Sci-Fi",true,Genre,Sci-Fi,,,,,,,,,0.0,shopify,1,deny,manual,11.00,,true,true,,,,,53607162,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
grace-quigley-vhs,Grace Quigley,,VHS,,,"Comedy, Floor Sale",true,Genre,Comedy,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,53639930,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
kill-bill-volume-1-dvd,Kill Bill Volume 1,,DVD,,,"Action, Floorsale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,53672698,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
kill-bill-volume-2-dvd,Kill Bill Volume 2,,DVD,,,"Action, Floorsale",true,Genre,Action,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,53705466,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
joseph-king-of-dreams-vhs,Joseph King of Dreams,,VHS,,,"Floor Sale, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,5.00,,true,true,,,,,34609658,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
wild-america-vhs,Wild America,,VHS,,,"Floor Sale, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,6.00,,true,true,,,,,34642426,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
when-good-ghouls-go-bad-vhs,When Good Ghouls go Bad,,VHS,,,"Floor Sale, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,8.00,,true,true,,,,,34675194,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
muppets-treasure-island-vhs,Muppets Treasure Island,,VHS,,,"Floor Sale, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,7.00,,true,true,,,,,34707962,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
harriet-the-spy-free-gift-vhs,Harriet the Spy (Free Gift),,VHS,,,"Floor Sale, Kids & Family",true,Genre,Kids & Family,,,,,,,,,0.0,shopify,1,deny,manual,10.00,,true,true,,,,,34773498,,,,false,,,,,,,,,,,,,,,,,,,lb,,,active
