Handle,Title,Option1 Name,Option1 Value,Body (HTML)
the-searchers-vhs-floor-sale-action,The Searchers,Genre,Action,<p>Jocke has grown up in one of Stockholm's rough suburbs. Nowadays he spends the daytime getting into trouble at school and going into Stockholm in the evenings and getting into even more trouble. After being sentenced to prison he meets Tony. After their release they begin a series of robberies.</p>
threesome-vhs-floor-sale-comedy,Threesome,Genre,Comedy,"<p>At a sizable public college, high-minded student Eddy is forced to room with the slovenly Stuart, but the pair strike up a surprising friendship. When attractive co-ed Alex is assigned to live with the two male students because of her gender-neutral name, a roundabout love triangle ensues. Eddy secretly yearns for Stuart, who wants Alex, but she prefers Eddy. The complex situation leads to sexual experimentation and strained relationships.</p>"
in-the-company-of-men-vhs-floor-sale-comedy,In The Company of Men,Genre,Comedy,"<p>Two business executives--one an avowed misogynist, the other recently emotionally wounded by his love interest--set out to exact revenge on the female gender by seeking out the most innocent, uncorrupted girl they can find and ruining her life.</p>"
walk-like-a-man-vhs-floor-sale-comedy,Walk Like A Man,Genre,Comedy,"<p>Bobo, a feral man raised by wolves, is reunited with his family by a researcher. However, this disappoints his brother, Reggie, who has no intentions of sharing the family inheritance with him.</p>"
comedian-vhs-floor-sale-documentary,Comedian,Genre,Documentary,"<p>A look at the work of two stand-up comics, Jerry Seinfeld and a lesser-known newcomer, detailing the effort and frustration behind putting together a successful act and career while living a life on the road.</p>"
in-the-mood-vhs-floor-sale-comedy,In The Mood,Genre,Comedy,"<p>When 15-year-old Sonny Wisecarver has an affair with his older neighbor Francine and then runs off to marry her, a stern judge has the union annulled. Then, when Sonny finds himself before the same judge after getting involved with another woman in her 20s, the publicity from this case makes him the object of affection for millions of young women</p>"
impostors-vhs-floor-sale-comedy,Impostors,Genre,Comedy,"<p>One of Mark Rappaport's later narratives (which won the Gold Hugo for Best First Feature at the Chicago International Film Festival in 1979), Impostors is an off-kilter comedy/mystery focused on two magicians trying to find Egyptian jewels, their promiscuous assistant, and a man who loves the assistant.</p>"
husbands-and-wives-vhs-floor-sale-comedy,Husbands and Wives,Genre,Comedy,"<p>When their best friends announce that they're separating, a professor and his wife discover the faults in their own marriage.</p>"
stakeout-vhs-floor-sale-comedy,Stakeout,Genre,Comedy,"<p>Two detectives observe an escaped convict's ex-girlfriend, but complications set in when one of them falls for her.</p>"
cyborg-vhs-floor-sale-sci-fi,Cyborg,Genre,Sci-Fi,<p>A martial artist hunts a killer in a plague-infested urban dump of the future.</p>
silent-movie-vhs-floor-sale-comedy,Silent Movie,Genre,Comedy,"<p>Aspiring filmmakers Mel Funn, Marty Eggs and Dom Bell go to a financially troubled studio with an idea for a silent movie. In an effort to make the movie more marketable, they attempt to recruit a number of big name stars to appear, while the studio's creditors attempt to thwart them.</p>"
just-the-ticket-vhs-floor-sale-romantic-comedy,Just the Ticket,Genre,Romantic Comedy,"<p>Gary Starke is one of the best ticket scalpers in New York City. His girlfriend, Linda, doesn't approve of his criminal lifestyle, though, and dumps him when she gets the opportunity to study cooking in Paris. Gary realizes that he has to give up scalping if he has any chance of winning her back. But before he does, he wants to cash out on one last big score. He gets his chance when the pope announces he'll be performing Easter Mass at Yankee Stadium.</p>"
in-the-bedroom-vhs-floor-sale-drama,In the Bedroom,Genre,Drama,"<p>Summertime on the coast of Maine, ""In the Bedroom"" centers on the inner dynamics of a family in transition. Matt Fowler is a doctor practicing in his native Maine and is married to New York born Ruth Fowler, a music teacher. His son is involved in a love affair with a local single mother. As the beauty of Maine's brief and fleeting summer comes to an end, these characters find themselves in the midst of unimaginable tragedy.</p>"
faithful-vhs-floor-sale-thriller,Faithful,Genre,Thriller,"<p>One day, Lauren finds her marriage to be in struggles. She tries at any costs to save her marriage, but the truth may not be as it seems.</p>"
just-like-heaven-vhs-floor-sale-romantic-comedy,Just Like Heaven,Genre,Romantic Comedy,"<p>Shortly after David Abbott moves into his new San Francisco digs, he has an unwelcome visitor on his hands: winsome Elizabeth Masterson, who asserts that the apartment is hers -- and promptly vanishes. When she starts appearing and disappearing at will, David thinks she's a ghost, while Elizabeth is convinced she's alive.</p>"
the-secret-life-of-girls-vhs-floor-sale-drama,The Secret Life of Girls,Genre,Drama,"<p>15-year-old Natalie, confused to begin with, finds out about her father's affair with one of his students. Refusing to simply stand by and watch her family disintegrate, Natalie takes it upon herself to expose the problem, and in doing so calls into question the family's penchant for denial.</p>"
i-love-you-to-death-vhs-floor-sale-comedy,I Love You to Death,Genre,Comedy,"<p>Joey Boca is the owner of a pizza parlour, and has been married to Rosalie for years. When Rosalie discovers that Joey is a womanizer and has been cheating on her for a long time, she goes to extreme lengths to punish him.</p>"
joseph-and-the-amazing-technicolor-dreamcoat-vhs-floor-sale-musical,Joseph and the Amazing Technicolor Dreamcoat,Genre,Musical,"<p>Joseph, the favored son of Jacob, is betrayed by his jealous brothers, sold into slavery, and driven to Egypt. Though beset with adversity, Joseph perseveres through wit and faith and becomes the Governor of Egypt, second only to the Pharaoh.</p>"
animal-house-vhs-floor-sale-comedy,Animal House,Genre,Comedy,"<p>At a 1962 College, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him.</p>"
in-out-vhs-floor-sale-comedy,In & Out,Genre,Comedy,<p>A midwestern teacher questions his sexuality after a former student makes a comment about him at the Academy Awards.</p>
just-visiting-vhs-floor-sale-comedy,Just Visiting,Genre,Comedy,"<p>A knight and his valet are plagued by a witch, and to repair the damage they make use of the services of a wizard. However, something goes wrong and they are transported from the 12th century to the year 2000. There the knight meets some of his family and slowly learns what this new century is like. However, he still needs to get back to the 12th century to deal with the witch, so he starts looking for a wizard. Remake of  1993 French film Les Visiteurs (The Visitors).</p>"
screamers-vhs-floor-sale-horror,Screamers,Genre,Horror,"<p>SIRIUS 6B, Year 2078. On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.</p>"
infestation-vhs-floor-sale-horror,Infestation,Genre,Horror,"<p>The not too distant future. A deadly virus has swept across the Earth. Billions perished. The survivors moved underground . . . 30 years on and plagued with self-blame following a devastating crash, pilot Loki is coaxed back from the edge by his partner Sash. Together they must take on a new mission: Go Topside. Retrieve missing recon team. Hostility unknown. After a thunderous journey through the Earth's crust they discover the planet surface is not what it once was, only death survives. As they quickly uncover the fate that befell the first team, they are forced to make a choice, either stay and die or stay and fight. But what will kill them first, the mutants or the virus?</p>"
in-dreams-vhs-floor-sale-thriller,In Dreams,Genre,Thriller,"<p>A suburban housewife learns that she has psychic connections to a serial killer, and can predict this person's motives through her dreams.</p>"
going-under-vhs-floor-sale-comedy,Going Under,Genre,Comedy,<p>An American submarine races to get a nuclear weapon before a Russian submarine.</p>
the-paper-vhs-floor-sale-comedy,The Paper,Genre,Comedy,"<p>Henry Hackett is the workaholic editor of a New York City tabloid. He loves his job, but the long hours and low pay are leading to discontent. Also, publisher Bernie White faces financial straits, and has hatchet-man Alicia Clark—Henry's nemesis—impose unpopular cutbacks.</p>"
country-life-vhs-floor-sale-comedy,Country Life,Genre,Comedy,"<p>The beautiful little village called Chuan Fan is undergoing a lively rural development program involving all aspects of village life and many folk practices relating to Buddhism. The two rural development specialists who arrive on the scene to help with modern health plans are well receives by the locals, except for the very conservative Chief of the village, who fears the young men from the city are after his overprotected daughters.</p>"
leap-of-faith-vhs-floor-sale-comedy,Leap of Faith,Genre,Comedy,"<p>Jonas Nightengale is a fraudulent Christian faith healer who makes a living travelling around America holding revival meetings and conducting 'miracles' with the help of his friend and manager, Jane, and their entourage.</p>"
king-of-the-hill-vhs-floor-sale-drama,King of the Hill,Genre,Drama,"<p>Based on the Depression-era bildungsroman memoir of writer A. E. Hotchner, the film follows the story of a boy struggling to survive on his own in a hotel in St. Louis after his mother is committed to a sanatorium with tuberculosis. His father, a German immigrant and traveling salesman working for the Hamilton Watch Company, is off on long trips from which the boy cannot be certain he will return.</p>"
what-comes-around-vhs-floor-sale-drama,What Comes Around,Genre,Drama,<p>Country singer Joe Hawkins must fight both drug addiction and his unscrupulous manager to get back on his feet.</p>
welcome-home-vhs-floor-sale-thriller,Welcome Home,Genre,Thriller,"<p>Julien, 28, returns to his home town after spending the past 13 years in prison. Out on probation, he's obsessed with a girl... Emilie. And one day, he reaches for her: ""it's me"". She turns around, looks at him and starts to scream.</p>"
stark-raving-mad-vhs-floor-sale-comedy,Stark Raving Mad,Genre,Comedy,<p>A crook quietly plots his revenge against the boss who murdered his brother while working for him.</p>
murphys-law-vhs-floor-sale-action,Murphy's Law,Genre,Action,"<p>A tough police detective escapes from custody after being framed and arrested for the murder of his ex-wife, and must now find the real killer and prove his innocence.</p>"
tides-of-war-vhs-floor-sale-action,Tides of War,Genre,Action,"<p>In the cold, dark waters off North Korea a U.S. Navy fast attack submarine meets with a mysterious disaster - it's attacked and nearly sunk by an ominous stealth submarine resulting in the deaths of the Executive Officer and the Engineering Officer.</p>"
the-in-crowd-vhs-floor-sale-thriller,The In Crowd,Genre,Thriller,"<p>A mentally disturbed young woman takes a job at a posh country club and falls in with a clique of wealthy college kids where she's taken under the wing of the clique's twisted leader, who harbors some dark secrets too terrifying to tell.</p>"
kansas-city-vhs-floor-sale-thriller,Kansas City,Genre,Thriller,<p>A pair of kidnappings expose the complex power dynamics within the corrupt and unpredictable workings of 1930s Kansas City.</p>
the-hustler-vhs-floor-sale-drama,The Hustler,Genre,Drama,<p>Fast Eddie Felson is a small-time pool hustler with a lot of talent but a self-destructive attitude. His bravado causes him to challenge the legendary Minnesota Fats to a high-stakes match.</p>
the-hospital-vhs-floor-sale-comedy,The Hospital,Genre,Comedy,"<p>Dr. Bock, the chief of medicine at a Manhattan hospital, is suicidal after the collapse of his personal life. When an intern is found dead in a hospital bed, it appears to Bock to be a case of unforgivable malpractice. Hours later, another doctor,  who happens to be responsible for another case of malpractice, is found dead. Despondent, Bock finds himself drawn to Barbara, the daughter of a comatose missionary.</p>"
bambi-vhs-floor-sale-kids-family,Bambi,Genre,Kids & Family,"<p>Bambi's tale unfolds from season to season as the young prince of the forest learns about life, love, and friends.</p>"
dejavu-dvd-floor-sale-sci-fi,DejaVu,Genre,Sci-Fi,"<p>""Mirna"" A young nurse, takes a job in a spooky house to help a disabled woman called ""Sofia"" In the house she has to deal with Sophia's strange husband and a constant feeling of deja vu.</p>"
the-thaw-dvd-floor-sale-horror,The Thaw,Genre,Horror,"<p>At a remote Arctic research station, four ecology students discover the real horror of global warming is not the melting ice, but what's frozen within it. A prehistoric parasite is released from the carcass of a Woolly Mammoth upon the unsuspecting students who are forced to quarantine and make necessary sacrifices, or risk infecting the rest of the world.</p>"
tornado,Tornado,Genre,Action,"<p>An accountant sent to produce an evaluation of a tornado research project, and the scientist running the project pursue tornadoes and each other.</p>"
gotham-vhs-floor-sale-thriller,Gotham,Genre,Thriller,<p>A New York private eye searches for a socialite who supposedly drowned 10 years before.</p>
the-journeyman-vhs-floor-sale-thriller,The Journeyman,Genre,Thriller,"<p>In the Wild West at the turn of the century, two young brothers watch as their Grandpa is gunned down in cold blood. The desperados kidnap the older boy while a priest takes in the younger one. Thirteen years later these two brothers will cross paths again as they both seek revenge, each in their own way.</p>"
tusks-vhs-floor-sale-action,Tusks,Genre,Action,"<p>Roger Singh is an animal poacher with hate in his heart, and revenge on his mind. Embittered by a recent stint in prison, Singh returns to the forbidden ivory trade only to lock horns with new game warden and former friend Mark Smith, whose testimony years before helped put Singh away.</p>"
ignition-vhs-floor-sale-thriller,Ignition,Genre,Thriller,<p>A web of intrigue and conspiracy lies beneath the euphoria as the U.S. is about to put a man on the moon for the first time in over thirty years</p>
the-suicide-club-vhs-floor-sale-horror,The Suicide Club,Genre,Horror,"<p>Prince Florizel of Bohemia discovers a secret club where desperate men gamble with their lives, and vows to bring it to an end.</p>"
first-born-vhs-floor-sale-thriller,First Born,Genre,Thriller,"<p>Laura's expecting. Her husband, Steven's a loving guy but has little time for her. Her mom lives thousands of miles away. Forced to give up on her dreams, she's always been a bit edgy. A C-section drives her over the edge, making her see things in a different light. A creepy babysitter doesn't make things any better. She begins seeing things, trusts no one, as she goes into self-destruct mode.</p>"
just-cause-vhs-floor-sale-thriller,Just Cause,Genre,Thriller,<p>A Harvard professor is lured back into the courtroom after twenty-five years to take the case of a young black man condemned to death for the horrific murder of a child.</p>
witch-hunt-vhs-floor-sale-thriller,Witch Hunt,Genre,Thriller,"<p>When five young women gather to play a witch-themed board game, they begin to suspect one of them may actually be a witch.</p>"
write-to-kill-vhs-floor-sale-thriller,Write to Kill,Genre,Thriller,"<p>In this thriller, Jamie Sanford is murdered by a group of counterfeiters when he attempts to expose them in order to secure an early parole. However, when aspiring writer Clark learns of his brothers death, he sets out to exact revenge and bring the guilty to justice while being framed for his brothers murder.</p>"
perfect-alibi-vhs-floor-sale-thriller,Perfect Alibi,Genre,Thriller,"<p>Melanie is married to Keith Bauers, she has two beautiful children and she is rich. She decides to engage a girl au pair, Janine, who arrives from France. Everything seems to run perfectly. Janine looks shy and timid and well disposed towards the family. But casually Paula, Melanies's sister, finds out that Janine and Keith are lovers and afterwards she dies in an accident.</p>"
the-good-thief-vhs-floor-sale-thriller,The Good Thief,Genre,Thriller,<p>An aging gambler on a losing streak attempts to rob a casino in Monte Carlo. But someone's already tipped off the cops before he even makes a move.</p>
desperate-measures-vhs-floor-sale-thriller,Desperate Measures,Genre,Thriller,"<p>San Francisco police officer Frank Connor is in a frantic search for a compatible bone marrow donor for his gravely ill son. There's only one catch the potential donor is convicted multiple murderer Peter McCabe who sees a trip to the hospital as the perfect opportunity to get what he wants most: freedom. With McCabe's escape, the entire hospital becomes a battleground and Connor must pursue and, ironically, protect the deadly fugitive who is his son's only hope for survival.</p>"
killing-me-softly-vhs-floor-sale-thriller,Killing Me Softly,Genre,Thriller,<p>A woman grows suspicious of her controlling husband after she discovers secrets about the women in his past.</p>
its-a-wonderful-life-vhs-floor-sale-drama,It's a Wonderful Life,Genre,Drama,"<p>George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.</p>"
the-witches-vhs-floor-sale-kids-family,The Witches,Genre,Kids & Family,"<p>While staying at a hotel in England with his grandmother, Helga, a young boy named Luke inadvertently spies on a convention of witches. The Grand High Witch reveals a plan to turn all children into mice via a magical formula. When they discover the eavesdropper, the witches test the formula on him. Now, with the help of Helga and hotel manager Mr Stringer, Luke the mouse must fight back against the witches.</p>"
hook-vhs-floor-sale-kids-family,Hook,Genre,Kids & Family,"<p>The boy who wasn't supposed to grow up—Peter Pan—does just that, becoming a soulless corporate lawyer whose workaholism could cost him his wife and kids. During his trip to see Granny Wendy in London, the vengeful Capt. Hook kidnaps Peter's kids and forces Peter to return to Neverland.</p>"
the-chronicles-of-narnia-the-lion-the-with-and-the-wardrobe-bluray-floor-sale-kids-family,The Chronicles of Narnia: The Lion The With and the Wardrobe,Genre,Kids & Family,<p>Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.</p>
primal-fear-dvd-floor-sale-thriller,Primal Fear,Genre,Thriller,"<p>Defense attorney Martin Vail takes on jobs for money and prestige rather than any sense of the greater good. His latest case involves an altar boy, accused of brutally murdering the archbishop of Chicago. Vail finds himself up against his ex-pupil and ex-lover, but as the case progresses and the Church's dark secrets are revealed, Vail finds that what appeared a simple case takes on a darker, more dangerous aspect.</p>"
passengers-bluray-floor-sale-sci-fi,Passengers,Genre,Sci-Fi,"<p>A spacecraft traveling to a distant colony planet and transporting thousands of people has a malfunction in its sleep chambers. As a result, two passengers are awakened 90 years early.</p>"
sanctum-bluray-floor-sale-thriller,Sanctum,Genre,Thriller,"<p>Master diver Frank McGuire has explored the South Pacific's Esa-ala Caves for months.  But when his exit is cut off in a flash flood, Frank's team—including 17-year-old son Josh and financier Carl Hurley are forced to radically alter plans.  With dwindling supplies, the crew must navigate an underwater labyrinth to make it out.</p>"
state-of-play-dvd-floor-sale-thriller,State of Play,Genre,Thriller,"<p>When a congressional aide is killed, a Washington, D.C. journalist starts investigating the case involving the Representative, his old college friend.</p>"
tarzan-bluray-floor-sale-action,Tarzan,Genre,Action,"<p>One of the most classic and revered stories of all time, Edgar Rice Burroughs' Tarzan returns to the big screen for a new generation. Tarzan and Jane face a mercenary army dispatched by the evil CEO of Greystoke Energies, a man who took over the company from Tarzan's parents, after they died in a plane crash in the African jungle.</p>"
the-polar-express-dvd-floor-sale-kids-family,The Polar Express,Genre,Kids & Family,"<p>When a doubting young boy takes an extraordinary train ride to the North Pole, he embarks on a journey of self-discovery that shows him that the wonder of life never fades for those who believe.</p>"
pathfinder-bluray-floor-sale-action,Pathfinder,Genre,Action,"<p>A Viking boy is left behind after his clan battles a Native American tribe. Raised within the tribe, he ultimately becomes their savior in a fight against the Norsemen.</p>"
oceans-bluray-floor-sale-documentary,Oceans,Genre,Documentary,"<p>An ecological drama/documentary, filmed throughout the globe. Part thriller, part meditation on the vanishing wonders of the sub-aquatic world.</p>"
the-phantom-of-the-opera-dvd-floor-sale-musical,The Phantom of the Opera,Genre,Musical,"<p>A comedy musical stage version of the Phantom of the Opera, filmed live on-stage during a performance in Florida.</p>"
stardust-dvd-floor-sale-fantasy,Stardust,Genre,Fantasy,"<p>In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm. His journey takes him into a world beyond his wildest dreams and reveals his true identity.</p>"
ray-bluray-floor-sale-drama,Ray,Genre,Drama,"<p>Born on a sharecropping plantation in Northern Florida, Ray Charles went blind at seven. Inspired by a fiercely independent mom who insisted he make his own way, He found his calling and his gift behind a piano keyboard. Touring across the Southern musical circuit, the soulful singer gained a reputation and then exploded with worldwide fame when he pioneered coupling gospel and country together.</p>"
next-dvd-floor-sale-action,Next,Genre,Action,"<p>Las Vegas showroom magician Cris Johnson has a secret which torments him: he can see a few minutes into the future. Sick of the examinations he underwent as a child and the interest of the government and medical establishment in his power, he lies low under an assumed name in Vegas, performing cheap tricks and living off small-time gambling ""winnings."" But when a terrorist group threatens to detonate a nuclear device in Los Angeles, government agent Callie Ferris must use all her wiles to capture Cris and convince him to help her stop the cataclysm.</p>"
my-fair-lady-dvd-floor-sale-musical,My Fair Lady,Genre,Musical,<p>A snobbish phonetics professor agrees to a wager that he can take a flower girl and make her presentable in high society.</p>
pompeii-bluray-floor-sale-action,Pompeii,Genre,Action,"<p>In 79 A.D., Milo, a slave turned gladiator, finds himself in a race against time to save his true love Cassia, the beautiful daughter of a wealthy merchant who has been unwillingly betrothed to a corrupt Roman Senator. As Mount Vesuvius erupts in a torrent of blazing lava, Milo must fight his way out of the arena in order to save his beloved as the once magnificent Pompeii crumbles around him.</p>"
predator-dvd-floor-sale-sci-fi,Predator,Genre,Sci-Fi,<p>A team of elite commandos on a secret mission in a Central American jungle come to find themselves hunted by an extraterrestrial warrior.</p>
safe-house-dvd-floor-sale-action,Safe House,Genre,Action,"<p>A dangerous CIA renegade resurfaces after a decade on the run. When the safe house he's remanded to is attacked by mercenaries, a rookie operative escapes with him. Now, the unlikely allies must stay alive long enough to uncover who wants them dead.</p>"
no-strings-attached-bluray-floor-sale-romantic-comedy,No Strings Attached,Genre,Romantic Comedy,"<p>Emma is a busy doctor who sets up a seemingly perfect arrangement when she offers her best friend Adam a relationship with one rule: No strings attached. But when a fling becomes a thing, can sex friends stay best friends?</p>"
the-notebook-dvd-floor-sale-drama,The Notebook,Genre,Drama,"<p>An epic love story centered around an older man who reads aloud to a woman with Alzheimer's. From a faded notebook, the old man's words bring to life the story about a couple who is separated by World War II, and is then passionately reunited, seven years later, after they have taken different paths.</p>"
resident-evil-dvd-floor-sale-action,Resident Evil,Genre,Action,"<p>When a virus leaks from a top-secret facility, turning all resident researchers into ravenous zombies and their lab animals into mutated hounds from hell, the government sends in an elite military task force to contain the outbreak.</p>"
parker-bluray-floor-sale-action,Parker,Genre,Action,"<p>A thief with a unique code of professional ethics is double-crossed by his crew and left for dead. Assuming a new disguise and forming an unlikely alliance with a woman on the inside, he looks to hijack the score of the crew's latest heist.</p>"
taken-dvd-floor-sale-action,Taken,Genre,Action,"<p>Bryan Mills, a former government operative, is trying to reconnect with his teenage daughter Kim. After reluctantly agreeing with his ex-wife to let Kim go to Paris on vacation with a friend, his worst nightmare comes true. While on the phone with his daughter shortly after she arrives in Paris, she and her friend are abducted by a gang of human traffickers. Working against the clock, Bryan relies on his extensive training and skills to track down the ruthless gang that abducted her and launch a one-man war to rescue his daughter.</p>"
safe-bluray-floor-sale-action,Safe,Genre,Action,"<p>After a former elite agent rescues a 12-year-old Chinese girl who's been abducted, they find themselves in the middle of a standoff between Triads, the Russian Mafia and high-level corrupt New York City politicians and police.</p>"
the-terminator-dvd-floor-sale-sci-fi,The Terminator,Genre,Sci-Fi,"<p>In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?</p>"
the-sound-of-music-bluray-floor-sale-musical,The Sound of Music,Genre,Musical,"<p>In the years before World War II, a tomboyish postulant at an Austrian abbey is hired as a governess in the home of a widowed naval captain with seven children and brings a new love of life and music into the home.</p>"
ted-bluray-floor-sale-comedy,Ted,Genre,Comedy,"<p>John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear or his girlfriend, Lori.</p>"
rango-dvd-floor-sale-kids-family,Rango,Genre,Kids & Family,"<p>When Rango, a lost family pet, accidentally winds up in the gritty, gun-slinging Western town of Dirt, the theater-loving lizard suddenly finds himself the newly appointed sheriff. Welcomed as the last hope the town has been waiting for, Rango is forced to play his new role to the hilt and uncover the truth behind a looming water crisis—before his act catches up with him.</p>"
tangled-bluray-floor-sale-kids-family,Tangled,Genre,Kids & Family,"<p>Feisty teenager Rapunzel, who has long and magical hair, wants to go and see sky lanterns on her eighteenth birthday, but she's bound to a tower by her overprotective mother. She strikes a deal with Flynn Rider, a charming wanted thief, and the duo set off on an action-packed escapade.</p>"
a-time-to-kill-dvd-floor-sale-drama,A Time to Kill,Genre,Drama,"<p>A young lawyer defends a black man accused of murdering two white men who raped his 10-year-old daughter, sparking a rebirth of the KKK.</p>"
prometheus-bluray-floor-sale-sci-fi,Prometheus,Genre,Sci-Fi,"<p>A team of explorers discover a clue to the origins of mankind on Earth, leading them on a journey to the darkest corners of the universe. There, they must fight a terrifying battle to save the future of the human race.</p>"
thor-bluray-floor-sale-action,Thor,Genre,Action,"<p>Against his father Odin's will, The Mighty Thor - a powerful but arrogant warrior god - recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.</p>"
pearl-harbor-dvd-floor-sale-action,Pearl Harbor,Genre,Action,"<p>The lifelong friendship between Rafe McCawley and Danny Walker is put to the ultimate test when the two ace fighter pilots become entangled in a love triangle with beautiful Naval nurse Evelyn Johnson. But the rivalry between the friends-turned-foes is immediately put on hold when they find themselves at the center of Japan's devastating attack on Pearl Harbor on Dec. 7, 1941.</p>"
a-quiet-place-4k-floor-sale-horror,A Quiet Place,Genre,Horror,<p>A family is forced to live in silence while hiding from creatures that hunt by sound.</p>
the-prince-bluray-floor-sale-action,The Prince,Genre,Action,<p>A family man who turns out to be a retired mob enforcer must travel across the country to find his daughter who has gone missing.</p>
the-rite-bluray-floor-sale-horror,The Rite,Genre,Horror,"<p>Seminary student Michael Kovak reluctantly attends exorcism school at the Vatican. While he’s in Rome, Michael meets an unorthodox priest who introduces him to the darker side of his faith, uncovering the devil’s reach even to one of the holiest places on Earth.</p>"
hancock-bluray-floor-sale-action,Hancock,Genre,Action,"<p>Hancock is a down-and-out superhero who's forced to employ a PR expert to help repair his image when the public grows weary of all the damage he's inflicted during his lifesaving heroics. The agent's idea of imprisoning the antihero to make the world miss him proves successful, but will Hancock stick to his new sense of purpose or slip back into old habits?</p>"
snitch-dvd-floor-sale-action,Snitch,Genre,Action,"<p>Construction company owner John Matthews learns that his estranged son, Jason, has been arrested for drug trafficking. Facing an unjust prison sentence for a first time offender courtesy of mandatory minimum sentence laws, Jason has nothing to offer for leniency in good conscience. Desperately, John convinces the DEA and the opportunistic DA Joanne Keeghan to let him go undercover to help make arrests big enough to free his son in return. With the unwitting help of an ex-con employee, John enters the narcotics underworld where every move could be his last in an operation that will demand all his resources, wits and courage to survive.</p>"
king-arthur-dvd-floor-sale-action,King Arthur,Genre,Action,"<p>The story of the Arthurian legend, based on the 'Sarmatian hypothesis' which contends that the legend has a historical nucleus in the Sarmatian heavy cavalry troops stationed in Britain, and that the Roman-British military commander, Lucius Artorius Castus is the historical person behind the legend.</p>"
gone-with-the-wind-dvd-floor-sale-drama,Gone With the Wind,Genre,Drama,<p>The spoiled daughter of a Georgia plantation owner conducts a tumultuous romance with a cynical profiteer during the American Civil War and Reconstruction Era.</p>
twilight-dvd-floor-sale-fantasy,Twilight,Genre,Fantasy,"<p>When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire. Despite Edward's repeated cautions, Bella can't stay away from him, a fatal move that endangers her own life.</p>"
the-searchers-dvd-floor-sale-action,The Searchers,Genre,Action,<p>Jocke has grown up in one of Stockholm's rough suburbs. Nowadays he spends the daytime getting into trouble at school and going into Stockholm in the evenings and getting into even more trouble. After being sentenced to prison he meets Tony. After their release they begin a series of robberies.</p>
season-of-the-witch-bluray-floor-sale-action,Season of the Witch,Genre,Action,"<p>A 14th century Crusader returns with his comrade to a homeland devastated by the Black Plague. The Church commands the two knights to transport a witch to a remote abbey, where monks will perform a ritual in hopes of ending the pestilence.</p>"
traitor-dvd-floor-sale-thriller,Traitor,Genre,Thriller,"<p>When straight arrow FBI agent Roy Clayton heads up the investigation into a dangerous international conspiracy, all clues seem to lead back to former U.S. Special Operations officer Samir Horn.</p>"
legion-bluray-floor-sale-horror,Legion,Genre,Horror,"<p>When God loses faith in humankind, he sends his legion of angels to bring on the Apocalypse. Humanity's only hope for survival lies in a group of strangers trapped in an out-of-the-way, desert diner with the Archangel Michael.</p>"
titanic-bluray-floor-sale-drama,Titanic,Genre,Drama,"<p>101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.</p>"
king-of-kings-dvd-floor-sale-drama,King of Kings,Genre,Drama,"<p>Who is Jesus, and why does he impact all he meets? He is respected and reviled, emulated and accused, beloved, betrayed, and finally crucified. Yet that terrible fate would not be the end of the story.</p>"
wolfman-bluray-floor-sale-thriller,Wolfman,Genre,Thriller,<p>A man finds out that his family has a werewolf curse put upon them.</p>
xxx-bluray-floor-sale-action,XXX,Genre,Action,"<p>Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.</p>"
the-dark-side-bluray-floor-sale-horror,The Hallow,Genre,Horror,"<p>Deep within the darkness of secluded forest land in rural Ireland dwells an ancient evil. Feared by the nearby superstitious villagers as cursed creatures who prey upon the lost, their secrets have been kept from civilization and remain on their hallowed ground. But when a conservationist from London moves in with his wife and infant child in order to survey the land for future construction, his actions unwittingly disturb the horde of demonic forces. Alone in a remote wilderness, he must now ensure his family's survival from their relentless attacks.</p>"
