Reason,Handle,Title,Body (HTML),Vendor,Product Category,Tags,Option1 Name,Option1 Value,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Barcode,Image Src,Image Position,Image Alt Text,Genre (product.metafields.shopify.genre),Type,Published,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Gift Card,SEO Title,SEO Description,Rental Availability (product.metafields.scf.avf),Language version (product.metafields.shopify.language-version),Media content type (product.metafields.shopify.media-content-type),MPAA rating (product.metafields.shopify.mpaa-rating),Target audience (product.metafields.shopify.target-audience),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
"no usable genre (Option1 Value 'Standard', tags Floor Sale)",white-oleander,White Oleander,This physical media collectible features a classic drama in its vintage tape format presented in a distinctive white protective case. Film enthusiasts will appreciate the nostalgic analog playback and the opportunity to own a piece of early 2000s cinematic history. It is a perfect addition for those building a library of evocative storytelling and period-specific media.,VHS,,Floor Sale,Condition,Standard,shopify,1,deny,manual,5.00,191-VHSWHI-001A,,,,,,false,,Serial Number,001A,,,,,191-VHSWHI-001A,0.0,,true,true,,,,,false,,,,,,,,,lb,,,draft
"no usable genre (Option1 Value 'Standard', tags Floor Sale)",teachers,Teachers,,VHS,,Floor Sale,Condition,Standard,shopify,1,deny,manual,6.00,191-VHSTCH-001A,,,,,,false,,Serial Number,001A,,,,,191-VHSTCH-001A,0.0,,true,true,,,,,false,,,,,,,,,lb,,,draft
"no usable genre (Option1 Value 'Standard', tags Floor Sale)",big-mommas-house,Big Momma's House,"Experience this classic family comedy in its original analog format, perfect for collectors and fans of nostalgic media. The physical tape comes in a durable protective sleeve featuring vibrant cover art that captures the lighthearted energy of the film. It offers a unique viewing experience that brings back the charm of nineties cinema and physical home video libraries.",VHS,,Floor Sale,Condition,Standard,shopify,1,deny,manual,5.00,191-VHSBGM-001A,,,,,,false,,Serial Number,001A,,,,,191-VHSBGM-001A,0.0,,true,true,,,,,false,,,,,,,,,lb,,,draft
"no usable genre (Option1 Value 'Standard', tags Floor Sale)",zack-reba,Zack & Reba,,VHS,,Floor Sale,Condition,Standard,shopify,1,deny,manual,6.00,191-VHSZAC-001A,,,,,,false,,Serial Number,001A,,,,,191-VHSZAC-001A,0.0,,true,true,,,,,false,,,,,,,,,lb,,,draft
no Rental or Floor Sale tag — cannot tell which this is,chrome-soldiers-the-secret-passion-of-robert-clayton,Chrome Soldiers The Secret Passion of Robert Clayton,"This vintage collection offers a nostalgic look at classic military figurines through high-quality photography and detailed historical context. The glossy pages showcase a dedicated collector's journey, making it an essential reference for toy soldier enthusiasts and hobbyists alike. It serves as both an aesthetic coffee table centerpiece and a comprehensive guide to mid-century craftsmanship.",VHS,,Action,Condition,50%,shopify,1,deny,manual,10.00,191-VHSCHR-50-001A,,,,,,false,,Serial Number,001A,,,,,191-VHSCHR-50-001A,0.0,,true,true,,,,,false,,,,,,,,,lb,,,draft
"no usable genre (Option1 Value '50%', tags Floor Sale)",street-smart,Street Smart,"This refined leather briefcase offers a sleek, slim profile combined with functional organization for the modern professional. The interior features a padded compartment to protect your laptop alongside multiple pockets for keeping essential accessories and documents in order. Its polished aesthetic and durable construction make it a sophisticated choice for daily commutes and business travel alike.",VHS,,Floor Sale,Condition,50%,shopify,1,deny,manual,8.00,191-VHSSTR-50-001A,,,,,,false,,Serial Number,001A,,,,,191-VHSSTR-50-001A,0.0,,true,true,,,,,false,,,,,,,,,lb,,,draft
no media format (Vendor 'Unknown Brand' is not VHS/DVD/Blu-Ray/4K),scavengers-vhs-academy-1988-stunts-kenneth-david-gilman-brenda-bakke,Scavengers Vhs Academy 1988 Stunts Kenneth David Gilman Brenda Bakke,"This 1988 cult classic captures the high-energy era of practical stunts and retro action cinema on original home video format. Housed in its authentic slipcase, this release is a must-have for nostalgic film enthusiasts and collectors of vintage physical media. Experience the gritty aesthetic and unique charm of late eighties cinematography through this well-preserved analog copy.",Unknown Brand,,"Comedy, Floor Sale",Condition,50%,shopify,1,deny,manual,6.00,191-NKNSCA-50-001A,,,,,,false,,Serial Number,001A,,,,,191-NKNSCA-50-001A,0.0,,true,true,,,,,false,,,,,,,,,lb,,,draft
no media format (Vendor 'Unknown Brand' is not VHS/DVD/Blu-Ray/4K),dead-poets-society-vhs-1989-robin-williams-buy-2-get-1-free,Dead Poet's Society VHS 1989 Robin Williams **Buy 2 Get 1 Free**,"Experience this acclaimed classic drama in its original analog format, perfect for collectors of vintage cinema. This 1989 home video release captures the inspiring story and powerful performances with the nostalgic warmth of magnetic tape. It is an essential addition for fans of heartfelt storytelling and physical media memorabilia.",Unknown Brand,,"Drama, Floor Sale",Condition,50%,shopify,1,deny,manual,5.00,191-NKNDEA-50-001A,,,,,,false,,Serial Number,001A,,,,,191-NKNDEA-50-001A,0.0,,true,true,,,,,false,,,,,,,,,lb,,,draft
no Rental or Floor Sale tag — cannot tell which this is,drive-me-crazy,Drive Me Crazy,"This classic physical media release brings a nostalgic nineties teen rom-com experience to your home collection in its original analog format. The vintage slipcase features iconic artwork, making it a perfect addition for enthusiasts of retro cinema and collectors of magnetic tape memorabilia. Enjoy the distinct aesthetic and warm playback quality that only this era of home entertainment can provide.",VHS,,Comedy,Condition,50%,shopify,1,deny,manual,5.00,191-VHSDRI-50-002A,,,,,,false,,Serial Number,002A,,,,,191-VHSDRI-50-002A,0.0,,true,true,,,,,false,,,,,,,,,lb,,,draft
no Rental or Floor Sale tag — cannot tell which this is,its-pat-the-movie-1,Its Pat...The Movie,"This cult classic comedy follows the misadventures of an androgynous main character in a vintage physical media format that includes the original full-screen presentation. It is a nostalgic addition to any retro film collection, featuring the distinctive 1990s cover art and the tactile experience of a classic home video release. This collectible tape is perfect for fans of Saturday Night Live history and enthusiasts of mid-90s cinematic nostalgia.",VHS,,Comedy,Condition,50%,shopify,1,deny,manual,10.00,191-VHSTSP-50-001A,,,,,,false,,Serial Number,001A,,,,,191-VHSTSP-50-001A,0.0,,true,true,,,,,false,,,,,,,,,lb,,,draft
no media format (Vendor 'Disney' is not VHS/DVD/Blu-Ray/4K),sleeping-beauty-50th-anniversary,Sleeping Beauty 50th Anniversary,"This limited release celebrates a landmark cinematic masterpiece with digitally restored visuals and enhanced surround sound for a modern viewing experience. The comprehensive two-disc set includes hours of immersive bonus features, such as behind-the-scenes documentaries, deleted scenes, and interactive games that appeal to both nostalgic adults and new generations. Its premium packaging and high-definition quality make it a cornerstone addition for any serious film enthusiast or animation collector.",Disney,,"Floor Sale, Kids & Family",Condition,50%,shopify,1,deny,manual,8.00,191-DISSLE-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781753609465.jpg?v=1781754185,1,191-DISSLE-50-001A,,,true,,Serial Number,001A,,,,,191-DISSLE-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781753609465.jpg?v=1781754185,lb,,,active
"no usable genre (Option1 Value '50%', tags Rental)",mr-brooks,Mr. Brooks,This high-definition psychological thriller offers a gripping look into the dual life of a successful businessman with a deadly hidden addiction. The crisp picture quality and immersive audio enhance the intense atmosphere and suspenseful performances of the star-studded cast. It is a sophisticated addition to any collection for those who enjoy complex character studies and edge-of-your-seat drama.,BLU-RAY,,Rental,Condition,50%,shopify,1,deny,manual,0.00,191-BLRMRB-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781750734534.jpg?v=1781750991,1,191-BLRMRB-50-001A,,,true,,Serial Number,001A,,,,,191-BLRMRB-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781750734534.jpg?v=1781750991,lb,,,active
"no usable genre (Option1 Value '50%', tags Rental)",conan-the-barbarian,Conan The Barbarian,,BLU-RAY,,Rental,Condition,50%,shopify,1,deny,manual,0.00,191-BLRCON-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781749193748.jpg?v=1781749666,1,191-BLRCON-50-001A,,,true,,Serial Number,001A,,,,,191-BLRCON-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781749193748.jpg?v=1781749666,lb,,,active
"no usable genre (Option1 Value '50%', tags Rental)",conan-the-barbarian,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/1-1781749194546.jpg?v=1781749667,2,191-BLRCON-50-001A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"no usable genre (Option1 Value '50%', tags Rental)",walking-tall,Walking Tall,Experience this high-definition presentation of a modern action classic featuring crisp visuals and immersive audio quality. This physical disc includes behind-the-scenes bonus content and director commentary that provides a deeper look into the making of the film. It is a must-have addition for collectors who enjoy intense performances and gripping justice-driven storytelling.,BLU-RAY,,Rental,Condition,50%,shopify,1,deny,manual,0.00,191-BLRWAL-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781746490306.jpg?v=1781746657,1,191-BLRWAL-50-001A,,,true,,Serial Number,001A,,,,,191-BLRWAL-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781746490306.jpg?v=1781746657,lb,,,active
product has 2 variants,finding-dory,Finding Dory,"Experience the heartwarming underwater journey of a forgetful blue tang as she searches for her long-lost parents across the ocean. This comprehensive home media set includes high-definition discs and a digital code, allowing you to enjoy the stunning animation and beloved characters on any device. It is a perfect addition to any family collection, offering hours of vibrant entertainment and meaningful lessons about friendship and perseverance.",BLU-RAY,,Kids & Family,Condition,50%,shopify,1,deny,manual,0.00,191-BLRFND-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781728588039.jpg?v=1781746610,1,191-BLRFND-50-001A,,,true,,Serial Number,001A,,,,,191-BLRFND-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781728588039.jpg?v=1781746610,lb,,,active
product has 2 variants,finding-dory,,,,,,,Standard,shopify,1,deny,manual,0.00,191-BLRFND-002A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250633057.jpg?v=1782253731,2,191-BLRFND-002A,,,,,,002A,,,,,191-BLRFND-002A,0.0,,true,true,,,,,,,,,,,,,,lb,,,
Rental with a nonzero price (11.00),beetlejuice,Beetlejuice,This high-definition physical release brings a classic supernatural comedy to life with stunning clarity and vibrant color enhancement. It features a variety of behind-the-scenes bonus content and isolated musical scores that offer fans a deeper look into the whimsical and gothic aesthetic of the film. This disc is an essential addition for collectors seeking the best possible home viewing experience for this timeless spooky favorite.,BLU-RAY,,"Kids & Family, Rental",Condition,50%,shopify,1,deny,manual,11.00,191-BLRBTL-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781728246362.jpg?v=1781746605,1,191-BLRBTL-50-001A,,,true,,Serial Number,001A,,,,,191-BLRBTL-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781728246362.jpg?v=1781746605,lb,,,active
no media format (Vendor 'Unknown' is not VHS/DVD/Blu-Ray/4K),love-and-monsters,Love and Monsters,This captivating science fiction adventure follows a young man navigating a post-apocalyptic landscape overrun by overgrown creatures to reunite with his high school sweetheart. It masterfully blends heartfelt coming-of-age storytelling with impressive visual effects and thrilling monster encounters for a unique cinematic experience. The film is a must-watch for fans of imaginative world-building and charming survival stories.,Unknown,,"Action, Rental",Condition,50%,shopify,1,deny,manual,0.00,191-UNKLOV-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781404684172.jpg?v=1781405030,1,191-UNKLOV-50-001A,,,true,,Serial Number,001A,,,,,191-UNKLOV-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781404684172.jpg?v=1781405030,lb,,,active
Rental with a nonzero price (14.00),gangster-squad,Gangster Squad,,BLU-RAY,,"Action, Rental",Condition,50%,shopify,1,deny,manual,14.00,191-BLRGAN-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781404380657.jpg?v=1781405022,1,191-BLRGAN-50-001A,,,true,,Serial Number,001A,,,,,191-BLRGAN-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781404380657.jpg?v=1781405022,lb,,,active
no media format (Vendor 'Arrow Video' is not VHS/DVD/Blu-Ray/4K),the-red-queen-kills-seven-times-arrow,The Red Queen Kills Seven Times (Arrow),"This high-definition restoration brings a stylish Italian gothic thriller to life with vibrant visual clarity and lossless audio. The collectible set features extensive special features including interviews, scholarly commentary, and an illustrated booklet that explores the film's macabre mystery. It is a definitive edition for genre enthusiasts looking to add a masterfully crafted slasher classic to their physical media library.",Arrow Video,,"Rental, Thriller",Condition,50%,shopify,1,deny,manual,0.00,191-RRWTHE-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781403975129.jpg?v=1781403995,1,191-RRWTHE-50-001A,,,true,,Serial Number,001A,,,,,191-RRWTHE-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781403975129.jpg?v=1781403995,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,it-happened-on-5th-avenue,It Happened on 5th Avenue,"This heartwarming holiday comedy follows a group of unlikely squatters who find shelter in a boarded-up luxury mansion while the owners are away for the winter. The classic black-and-white film offers a charming blend of mid-century wit and a timeless message about the true meaning of generosity and family. Captured in high definition, this home media release is an essential addition for fans of vintage cinema and traditional Christmas storytelling.",DVD,,Comedy,Condition,50%,shopify,1,deny,manual,0.00,191-DVDITH-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781403752316.jpg?v=1781403990,1,191-DVDITH-50-001A,,,true,,Serial Number,001A,,,,,191-DVDITH-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781403752316.jpg?v=1781403990,lb,,,active
no media format (Vendor 'Alfred Hitchcock' is not VHS/DVD/Blu-Ray/4K),vertigo,Vertigo,Experience this psychological thriller in stunning high definition with a restoration that captures every haunting detail of the suspenseful narrative. This cinematic masterpiece features legendary performances and groundbreaking cinematography that make it an essential addition to any classic film collection. The disc includes immersive bonus content and behind-the-scenes insights into one of the most celebrated titles in movie history.,Alfred Hitchcock,,"Rental, Thriller",Condition,50%,shopify,1,deny,manual,0.00,191-ALFVER-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781402999401.jpg?v=1781403166,1,191-ALFVER-50-001A,,,true,,Serial Number,001A,,,,,191-ALFVER-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781402999401.jpg?v=1781403166,lb,,,active
"no usable genre (Option1 Value '50%', tags Rental)",night-and-day,Night and Day,"This versatile fragrance features a distinct dual profile that transitions seamlessly from light, floral daytime notes to deep, woody evening undertones. Its unique composition is designed for the modern individual who values a sophisticated scent capable of adapting to any occasion. The elegant bottle makes it a timeless addition to any collection, offering a balanced olfactory experience that lingers beautifully on the skin.",DVD,,Rental,Condition,50%,shopify,1,deny,manual,3.00,191-DVDNGH-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781402751742.jpg?v=1781402933,1,191-DVDNGH-50-001A,,,true,,Serial Number,001A,,,,,191-DVDNGH-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781402751742.jpg?v=1781402933,lb,,,active
no media format (Vendor 'Unknown' is not VHS/DVD/Blu-Ray/4K),psycho-goreman,Psycho Goreman,"This highly detailed action figure captures the grotesque yet charming aesthetic of the intergalactic warlord with intricate sculpting and vibrant paint applications. It comes equipped with signature weapon accessories and multiple points of articulation, making it a standout addition for any collector of indie sci-fi horror memorabilia. Whether displayed on a shelf or used for creative photography, this piece perfectly embodies the film's unique blend of retro practical effects and dark comedy.",Unknown,,"Horror, Rental",Condition,50%,shopify,1,deny,manual,0.00,191-UNKPSY-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781397611914.jpg?v=1781397836,1,191-UNKPSY-50-001A,,,true,,Serial Number,001A,,,,,191-UNKPSY-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781397611914.jpg?v=1781397836,lb,,,active
no media format (Vendor 'Unknown' is not VHS/DVD/Blu-Ray/4K),poltergeist-extended-cut-blu-ray,Poltergeist Extended Cut (Blu-ray),This extended edition offers a terrifying cinematic experience with additional footage that deepens the supernatural tension of the supernatural classic. High-definition visuals and immersive audio quality make it an essential centerpiece for any horror fan's home media collection. The physical disc includes exclusive bonus content and behind-the-scenes features that explore the production of this iconic haunting tale.,Unknown,,"Horror, Rental",Condition,50%,shopify,1,deny,manual,0.00,191-UNKPOL-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781397326796.jpg?v=1781397832,1,191-UNKPOL-50-001A,,,true,,Serial Number,001A,,,,,191-UNKPOL-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781397326796.jpg?v=1781397832,lb,,,active
"no usable genre (Option1 Value '50%', tags Rental)",the-black-room-vinegar-syndrome,The Black Room (Vinegar Syndrome),"This mysterious fragrance captures a sophisticated and moody atmosphere through its deep, smoky notes and woody undertones. It offers a long-lasting, unisex appeal that is perfect for evening wear or making a bold impression. The sleek bottle design makes it a stylish addition to any collection for those who appreciate complex and darker scent profiles.",BLU-RAY,,Rental,Condition,50%,shopify,1,deny,manual,0.00,191-BLRTHB-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781396781968.jpg?v=1781397138,1,191-BLRTHB-50-001A,,,true,,Serial Number,001A,,,,,191-BLRTHB-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781396781968.jpg?v=1781397138,lb,,,active
no media format (Vendor 'Unknown' is not VHS/DVD/Blu-Ray/4K),castle-freak,Castle Freak,"This cult classic horror film is presented on high-definition physical media, featuring a stunning restoration that brings every unsettling detail of the gothic atmosphere to life. The release includes a variety of special features and behind-the-scenes insights that make it a perfect addition for collectors of surreal genre cinema. Its blend of practical effects and haunting storytelling ensures a memorable viewing experience for any fan of vintage macabre tales.",Unknown,,"Horror, Rental",Condition,70%,shopify,1,deny,manual,0.00,191-UNKCAS-70-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781396030620.jpg?v=1781397122,1,191-UNKCAS-70-001A,,,true,,Serial Number,001A,,,,,191-UNKCAS-70-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781396030620.jpg?v=1781397122,lb,,,active
no media format (Vendor 'Universal Pictures' is not VHS/DVD/Blu-Ray/4K),a-million-ways-to-die-in-the-west,A Million Ways to Die in the West,This comedy western follows a cowardly farmer who seeks help from a mysterious sharpshooter to win back his girlfriend while outrunning a notorious outlaw. The film features an all-star cast and signature irreverent humor that parodies the harsh realities of life on the frontier. This physical disc is a great choice for fans of satirical cinema and those looking to complete their home movie collection.,Universal Pictures,,"Comedy, Rental",Condition,50%,shopify,1,deny,manual,0.00,191-UNIAMI-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781378298176.jpg?v=1781382028,1,191-UNIAMI-50-001A,,,true,,Serial Number,001A,,,,,191-UNIAMI-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781378298176.jpg?v=1781382028,lb,,,active
no media format (Vendor 'Unknown' is not VHS/DVD/Blu-Ray/4K),22-jump-street,22 Jump Street,"Relive the action and humor of this high-energy buddy cop sequel in high definition. This physical media release features the complete film along with exclusive bonus content, including deleted scenes and a hilarious gag reel. It is a must-have addition for fans of modern comedy and crime-fighting duos looking to complete their home cinema collection.",Unknown,,"Comedy, Rental",Condition,50%,shopify,1,deny,manual,0.00,191-UNK22J-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781378141047.jpg?v=1781382027,1,191-UNK22J-50-001A,,,true,,Serial Number,001A,,,,,191-UNK22J-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781378141047.jpg?v=1781382027,lb,,,active
Rental with a nonzero price (9.00),this-is-the-end,This Is The End,"This high-definition physical release offers a premium home viewing experience of the hit apocalyptic comedy with stunning visual clarity and immersive audio. It includes a variety of exclusive bonus features like deleted scenes, behind-the-scenes featurettes, and a gag reel that provide a deeper look into the star-studded production. This disc is an essential addition for fans of ensemble humor and over-the-top supernatural action looking for the best possible picture quality.",BLU-RAY,,"Comedy, Rental",Condition,50%,shopify,1,deny,manual,9.00,191-BLRTH5-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781378025553.jpg?v=1781382019,1,191-BLRTH5-50-001A,,,true,,Serial Number,001A,,,,,191-BLRTH5-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781378025553.jpg?v=1781382019,lb,,,active
product has 2 variants,night-of-the-living-dead,Night of the Living Dead,"Experience the definitive high-definition restoration of this foundational horror masterpiece, meticulously supervised by the original filmmakers to ensure unparalleled visual and audio clarity. This special anniversary collection features a wealth of archival bonus materials and a digital copy for viewing on any device, making it an essential acquisition for serious cinema collectors. Whether revisited for its social commentary or its groundbreaking suspense, this edition offers the most complete look at a film that changed the genre forever.",BLU-RAY,,"Horror, Rental",Condition,50%,shopify,1,deny,manual,0.00,191-BLRNGH-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781316398224.jpg?v=1781382009,1,191-BLRNGH-50-001A,,,true,,Serial Number,001A,,,,,191-BLRNGH-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781316398224.jpg?v=1781382009,lb,,,active
product has 2 variants,night-of-the-living-dead,,,,,,,Standard,shopify,1,deny,manual,0.00,191-BLRNGH-002A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782250584478.jpg?v=1782253695,2,191-BLRNGH-002A,,,,,,002A,,,,,191-BLRNGH-002A,0.0,,true,true,,,,,,,,,,,,,,lb,,,
Rental with a nonzero price (8.00),the-house-that-jack-built,THE HOUSE THAT JACK BUILT,Experience this provocative and visually stunning psychological thriller in high definition clarity with this premium physical release. This disc includes the full unrated version of the film alongside a collection of immersive special features for fans of intense cinematic storytelling. It is a must-have addition for collectors seeking to complete their library of modern cult masterpieces.,BLU-RAY,,"Horror, Rental",Condition,50%,shopify,1,deny,manual,8.00,191-BLRTHH-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781315875672.jpg?v=1781382000,1,191-BLRTHH-50-001A,,,true,,Serial Number,001A,,,,,191-BLRTHH-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781315875672.jpg?v=1781382000,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,v-h-s-85,V/H/S/85,"This cinematic collection delivers a brutal and immersive return to the found-footage genre, capturing the gritty aesthetic of the mid-eighties across five interconnected segments of terror. The high-definition transfer preserves the intentional analog distortion and visceral practical effects, making it a must-have for fans of retro-style horror and anthology storytelling. Explore a dark vision of the past through this unsettling journey into supernatural phenomena and human depravity.",BLU-RAY,,Horror,Condition,50%,shopify,1,deny,manual,0.00,191-BLRVH5-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781288751303.jpg?v=1781289549,1,191-BLRVH5-50-001A,,,true,,Serial Number,001A,,,,,191-BLRVH5-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781288751303.jpg?v=1781289549,lb,,,active
no media format (Vendor 'Unknown' is not VHS/DVD/Blu-Ray/4K),on-the-road,On the Road,This fresh and spicy fragrance captures the essence of a spirited adventure with its unique blend of citrus and woody notes. It offers a sophisticated yet rugged aroma that is perfect for daily wear or special travels. The long-lasting scent profile ensures a memorable impression that feels both modern and timeless.,Unknown,,"Drama, Rental",Condition,50%,shopify,1,deny,manual,0.00,191-UNKONT-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781287380649.jpg?v=1781289528,1,191-UNKONT-50-001A,,,true,,Serial Number,001A,,,,,191-UNKONT-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781287380649.jpg?v=1781289528,lb,,,active
no Rental or Floor Sale tag — cannot tell which this is,hercules-extended-cut,Hercules Extended Cut,"Experience the action in stunning high definition with this multi-disc set featuring both the theatrical and extended versions of the epic adventure. This collection includes disc formats for your home theater and a digital code for viewing on the go, along with exclusive behind-the-scenes bonus content. It is the perfect addition for fans of historical fantasy and large-scale cinematic battles.",BLU-RAY,,Action,Condition,50%,shopify,1,deny,manual,0.00,191-BLRHER-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781285916062.jpg?v=1781286778,1,191-BLRHER-50-001A,,,true,,Serial Number,001A,,,,,191-BLRHER-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781285916062.jpg?v=1781286778,lb,,,active
product has 2 variants,speed-racer,Speed Racer,"Experience the high-octane thrills of this visually stunning cinematic adventure featuring vibrant colors and gravity-defying racing sequences. This widescreen edition offers an immersive home theater experience that captures every detail of the stylized, futuristic landscapes and intense competition. Perfect for families and fans of stylized action, this film delivers a heartwarming story wrapped in a cutting-edge aesthetic.",DVD,,"Kids & Family, Rental",Condition,50%,shopify,1,deny,manual,0.00,191-BLRSPE-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781285687045.jpg?v=1781286772,1,191-BLRSPE-50-001A,,,true,,Serial Number,001A,,,,,191-BLRSPE-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781285687045.jpg?v=1781286772,lb,,,active
product has 2 variants,speed-racer,,,,,,,Standard,shopify,1,deny,manual,0.00,191-DVDSPE-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1782252168933.jpg?v=1782253811,2,191-DVDSPE-001A,,,,,,001A,,,,,191-DVDSPE-001A,0.0,,true,true,,,,,,,,,,,,,,lb,,,
no Rental or Floor Sale tag — cannot tell which this is,gamer-2-disc-special-edition-w-digital-copy,Gamer (2-Disc Special Edition w Digital Copy),This two disc special edition features the complete high definition presentation and a standalone digital copy for viewing on multiple devices. The set includes a variety of behind the scenes documentaries and bonus footage that offer an immersive look into the film's production and visual effects. It is a perfect addition for collectors seeking the highest quality playback along with versatile portability for their media library.,BLU-RAY,,Action,Condition,50%,shopify,1,deny,manual,0.00,191-BLRGAM-50-001A,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781285568538.jpg?v=1781286768,1,191-BLRGAM-50-001A,,,true,,Serial Number,001A,,,,,191-BLRGAM-50-001A,0.0,,true,true,,,,,false,,,,,,,,https://cdn.shopify.com/s/files/1/0826/6363/7242/files/0-1781285568538.jpg?v=1781286768,lb,,,active
